<<<<<<< HEAD
Petition,URL,State,Signatures Count,Health,Crime/Safety,Government,Vehicles,Entertainment/Spectation,Socialising/Participation,Education,Environment,Animals
"FIONA'S LAW - Women should be allowed a yearly Cervical screening
 
",https://petition.parliament.uk/petitions/317336,open,145265,1,,,,,,,,
Make reversing cameras compulsory for all commercial vans and lorries.,https://petition.parliament.uk/petitions/322364,open,1143,,1,,,,,,,
Add SIA licenced security staff to the Assaults on Emergency Workers’ Act 2018,https://petition.parliament.uk/petitions/323006,open,4033,,1,,,,,,,
Review planning legislation to include facilities for HGV drivers.,https://petition.parliament.uk/petitions/323286,open,12392,,1,,,,,,,
"Longer sentences for child sex offenders, sex offenders and rapists",https://petition.parliament.uk/petitions/323338,open,22106,,1,,,,,,,
Visitors to the UK must provide proof of valid/medical insurance,https://petition.parliament.uk/petitions/323368,open,1500,1,,,,,,,,
Prevent any restrictions on those who refuse a Covid-19 vaccination,https://petition.parliament.uk/petitions/323442,open,336932,1,,,,,,,,
Include Alevi status in the 2021 census,https://petition.parliament.uk/petitions/323453,open,1238,,,1,,,,,,
Council Tax reduction for people paying Estate Management fees,https://petition.parliament.uk/petitions/323667,open,11480,,,1,,,,,,
Make all Electric Vehicle Charging Points accept contactless payment.,https://petition.parliament.uk/petitions/323823,open,1107,,,,,,,,1,
Require the NHS to provide single-sex psychiatric wards including intake wards,https://petition.parliament.uk/petitions/323999,open,1479,,1,,,,,,,
A law of presumed liability to protect vulnerable road users like cyclists,https://petition.parliament.uk/petitions/324444,open,5718,,1,,,,,,,
Extend business rates relief to include every English language teaching school,https://petition.parliament.uk/petitions/324465,open,7624,,,,,,,1,,
Require the police to respond fully to all complaints within 28 days,https://petition.parliament.uk/petitions/324534,open,1100,,1,,,,,,,
Extend the 2026 deadline for the recording of historic footpaths & bridleways.,https://petition.parliament.uk/petitions/324613,open,13613,,,,,,,,1,
Give British Basketball appropriate funding,https://petition.parliament.uk/petitions/324801,open,11847,,,,,,1,,,
Lower the age you are offered a cervical screening (smear test) from 25 to 16,https://petition.parliament.uk/petitions/325302,open,61383,1,,,,,,,,
Fund dedicated dementia wards in all hospitals,https://petition.parliament.uk/petitions/325517,open,10544,1,,,,,,,,
Revoke Government support for large-scale new nuclear projects,https://petition.parliament.uk/petitions/325653,open,3070,,,1,,,,,,
Cancel GCSEs and A Levels in 2021,https://petition.parliament.uk/petitions/326066,open,211711,,,,,,,1,,
Update the RHLG guidance so that it includes event hire & exhibition companies,https://petition.parliament.uk/petitions/326399,open,2514,,,1,,,,,,
Make prescriptions free for everyone with Cystic Fibrosis ,https://petition.parliament.uk/petitions/326574,open,5386,1,,,,,,,,
Urge the ICC to investigate crimes against the Tamil population,https://petition.parliament.uk/petitions/326667,open,7317,,,1,,,,,,
Reinstate the pre-2012 Overseas Domestic Worker visa with a route to settlement,https://petition.parliament.uk/petitions/326765,open,8300,,,1,,,,,,
Disallow Food that is Lower than the Minimum UK Production & Welfare Standards,https://petition.parliament.uk/petitions/326837,open,1490,,,,,,,,,1
Hold a public vote on HS2 project as it is being paid for by the public,https://petition.parliament.uk/petitions/326850,open,13787,,,1,,,,,,
Act to prevent online racial abuse,https://petition.parliament.uk/petitions/327158,open,1191,,1,,,,,,,
Provide support for sufferers of long term effects of Covid-19,https://petition.parliament.uk/petitions/327205,open,2226,1,,,,,,,,
Ban the use of choke and pronged collars on dogs,https://petition.parliament.uk/petitions/327471,open,1352,,,,,,,,,1
We the British People Request a Public Inquiry into Grooming Gangs,https://petition.parliament.uk/petitions/327566,open,30885,,1,,,,,,,
Extend the law on coercive control to cover post-separation abuse,https://petition.parliament.uk/petitions/327881,open,1306,,1,,,,,,,
Add Crohn’s & Colitis to the Medically Exempt Certificate,https://petition.parliament.uk/petitions/328047,open,13729,1,,,,,,,,
Free leaseholders trapped in new build properties by post-Grenfell EWS1 form,https://petition.parliament.uk/petitions/328201,open,32554,,,1,,,,,,
Allow sports clubs to reopen with reduced capacities ,https://petition.parliament.uk/petitions/328403,open,2309,,,,,1,,,,
Hold a public inquiry into Government contracts granted during Covid-19,https://petition.parliament.uk/petitions/328408,open,117780,,,1,,,,,,
Incorporate wildlife tunnels in the HS2 plans to mitigate ecological damage,https://petition.parliament.uk/petitions/328528,open,3209,,,,,,,,,1
"Change outdated laws to prevent forest felling when baby animals are in
nests",https://petition.parliament.uk/petitions/328537,open,12377,,,,,,,,,1
"Change the law so unmarried, deceased father's name can go on birth certificate",https://petition.parliament.uk/petitions/328554,open,1719,,,1,,,,,,
Introduce laws like the German Strafgesetzbuch section 86a to ban Nazi symbols,https://petition.parliament.uk/petitions/328695,open,3428,,1,,,,,,,
Allow childminders to claim ‘free hours’ for related children,https://petition.parliament.uk/petitions/328986,open,1618,,,1,,,,,,
Ban all MLM businesses from trading in the UK,https://petition.parliament.uk/petitions/329080,open,1503,,,1,,,,,,
Provide funding for surgical correction of Pectus Excavatum,https://petition.parliament.uk/petitions/329161,open,16676,1,,,,,,,,
Extend furlough scheme for theatre and live music industry. ,https://petition.parliament.uk/petitions/329174,open,42258,,,,,1,,,,
Negotiate the release and return of British Muslims detained in India,https://petition.parliament.uk/petitions/329225,open,2697,,,1,,,,,,
Grant English and Welsh Pagans the same marriage rights as Scottish Pagans,https://petition.parliament.uk/petitions/329249,open,1380,,,1,,,,,,
"Increase Number of Guests Permitted at Weddings, according to Venue Capacity",https://petition.parliament.uk/petitions/329339,open,113372,,,,,,1,,,
Alcohol and drugs testing for all Members of Parliament.,https://petition.parliament.uk/petitions/329354,open,1162,,,1,,,,,,
Rule out ending the transition period without a deal,https://petition.parliament.uk/petitions/329500,open,11689,,,1,,,,,,
Make Carers Allowance equivalent to a fair wage & allow multiple claims,https://petition.parliament.uk/petitions/329815,open,2439,,,1,,,,,,
Make the neutering/spaying of pet cats a legal requirement.,https://petition.parliament.uk/petitions/329951,open,2903,,,,,,,,,1
Give further financial support to the Events and Hospitality industry,https://petition.parliament.uk/petitions/329985,open,45895,,,,,,1,,,
Require meat sellers to display how all meat was slaughtered and sourced ,https://petition.parliament.uk/petitions/330012,open,1052,,,,,,,,,1
Allow citizens of Colombia to travel to the UK visa free for tourism,https://petition.parliament.uk/petitions/330116,open,1060,,,1,,,,,,
Review triage procedures used by NHS maternity wards,https://petition.parliament.uk/petitions/330264,open,10688,1,,,,,,,,
Take action to end factory farming and reduce meat and dairy consumption,https://petition.parliament.uk/petitions/330298,open,36849,,,,,,,,,1
Compulsory home checks and abusers database to protect animals,https://petition.parliament.uk/petitions/330345,open,3776,,,,,,,,,1
Ban ‘permitted discharge’ of foul water into rivers ,https://petition.parliament.uk/petitions/330416,open,4240,,,,,,,,1,
End Forced Adoption,https://petition.parliament.uk/petitions/330451,open,1905,,,1,,,,,,
Require child sexual abuse to be reported with penalties for failure to do so,https://petition.parliament.uk/petitions/330478,open,1607,,1,,,,,,,
Change DfE school guidance to allow overnight educational visits.,https://petition.parliament.uk/petitions/330559,open,17879,,,,,,,1,,
Extend the furlough scheme at 80% until at least December 2020,https://petition.parliament.uk/petitions/330657,open,1495,,,1,,,,,,
Close loophole allowing licensed dog breeders to broker pregnant bitches,https://petition.parliament.uk/petitions/330704,open,15489,,,,,,,,,1
