Petition,URL,State,Signatures Count
Protect the Environment – support carbon neutral energy alternatives,https://petition.parliament.uk/petitions/300000,closed,1604
Bring Hailsham’s roads back to a their former glory,https://petition.parliament.uk/petitions/300005,rejected,21
Give holiday caravan/lodge owners the same statutory protection as mobile homes.,https://petition.parliament.uk/petitions/300007,closed,13478
"Increase the criteria for a successful referendum to require a ""clear majority"".",https://petition.parliament.uk/petitions/300008,rejected,6
Allow conference speakers to be able to speak on a standard visitor visa,https://petition.parliament.uk/petitions/300009,rejected,8
"Fern’s Law: Compulsory to scan & check microchips to reunite stolen dogs, cats.",https://petition.parliament.uk/petitions/300010,closed,112227
"Reform the referendum process to avoid ugly divisions, uncertainty & stagnation",https://petition.parliament.uk/petitions/300011,rejected,8
The Static Caravan Holiday Homes Industry needs Legislative Laws in place.,https://petition.parliament.uk/petitions/300012,rejected,10
Parliament to recognise the poor treatment of disabled and vulnerable people.,https://petition.parliament.uk/petitions/300013,rejected,11
The Static Caravan Holiday Homes Industry needs Legislative Laws in place.,https://petition.parliament.uk/petitions/300014,rejected,11
Sol’s Law – Create a new offence and tougher penalties for attacking animals. ,https://petition.parliament.uk/petitions/300015,closed,1967
Return the Parthenon Marbles via the establishment of a new independent body,https://petition.parliament.uk/petitions/300016,closed,290
Bring the pay scales of Crime Scene Investigators in line with police officers. ,https://petition.parliament.uk/petitions/300018,closed,269
Revoke the Health and Social Care Act 2012 and renationalise the NHS,https://petition.parliament.uk/petitions/300019,closed,30844
Reverse EU withdrawal,https://petition.parliament.uk/petitions/300020,rejected,10
Prohibit MPs from voting in parliament when under the influence of alcohol,https://petition.parliament.uk/petitions/300021,closed,395
Vets to scan prior to euthanasia for Rescue Back up and confirm keeper details,https://petition.parliament.uk/petitions/300025,closed,121166
Hold a referendum on the post-2020 UK-EU relationship with option to rejoin EU,https://petition.parliament.uk/petitions/300026,closed,8563
Fund research for childhood cancers with the worst survival rates,https://petition.parliament.uk/petitions/300027,closed,109178
Repeal the Vagrancy Act of 1824,https://petition.parliament.uk/petitions/300029,closed,111
Pay Carers an allowance equivalent to a fulltime job at the National Living wage,https://petition.parliament.uk/petitions/300032,closed,20609
"Close the border, to infected nations, to prevent the spread of COVID-19",https://petition.parliament.uk/petitions/300033,rejected,21
Fund Kuvan (sapropterin) on the NHS for people with PKU,https://petition.parliament.uk/petitions/300034,closed,19760
Hold a referendum for devolution in the North of England,https://petition.parliament.uk/petitions/300039,closed,73
Make it compulsory for all leisure centres to carry out checks under Sarah's law,https://petition.parliament.uk/petitions/300041,closed,1401
Introduce Human Trafficking into the secondary school curriculum,https://petition.parliament.uk/petitions/300042,rejected,6
Legal rights for ancient trees,https://petition.parliament.uk/petitions/300050,closed,17012
"Require restaurants to show total prices, inclusive of service charges, in menus",https://petition.parliament.uk/petitions/300052,closed,105
"Introduce a minimum sentence for carrying a knife, equal to carrying a firearm.",https://petition.parliament.uk/petitions/300054,closed,19472
Coroners must be lawfully obligated to statistically record veteran suicides,https://petition.parliament.uk/petitions/300055,closed,10517
Allow those who suffer from Coeliac Disease to join the Armed Forces,https://petition.parliament.uk/petitions/300056,closed,352
Remove the East Anglia franchise from the Greater Anglia company,https://petition.parliament.uk/petitions/300057,closed,337
"New ""UK Person"" status for nationals of countries that prohibit dual nationality",https://petition.parliament.uk/petitions/300058,closed,590
